Name,Achilles tendon stress,Ankle plantar/dorsiflexion angle,Ankle in/eversion angle,Ankle plantar/dorsiflexion moment,Ankle in/eversion moment,Ankle power,A/P GRF,M/L GRF,Vertical GRF,Knee flex/extension angle,Knee in/external rotation angle,A/P pelvic lean,Ipsi/contralateral pelvic lean,EMG activation for tibialis anterior ,EMG activation for gastrocnemius,EMG activation for soleus
98,3.261166526,25.1947,3.60004,3.36342,0.565532,27.8952,-1.09317,-5.88017,18.2163,27.9939,-4.97658,25.4057,-0.163336,0.744075883,0.970246354,0.983066206
99,3.547013689,22.1793,3.31868,3.07422,0.522179,29.6774,-0.959795,-5.94813,16.3982,25.8721,-7.10538,25.0443,-0.532049,0.721159567,0.96218489,0.971044612
100,4.074430907,18.7019,3.00637,2.73917,0.470381,29.7588,-0.852865,-5.86927,14.396,23.7983,-9.23864,24.6753,-0.874407,0.700735253,0.953446859,0.956689373
101,5.266933506,14.8153,2.6719,2.36598,0.411258,28.0317,-0.734102,-5.59906,12.2324,21.8186,-11.2997,24.3091,-1.18529,0.681989112,0.943695889,0.941924785
102,9.685081557,10.6063,2.32773,1.94453,0.341,24.3471,-0.555553,-4.97712,10.03,19.9782,-13.2091,23.956,-1.45995,0.669220407,0.932102517,0.926635388
103,3.031987037,33.0078,2.27299,3.66582,-0.317221,-0.359574,-0.292704,-6.172,21.0349,43.2189,19.8882,26.8003,-3.39094,0.737649637,0.917221845,0.880810564
104,3.145545626,32.1401,1.88297,3.68627,-0.293885,5.5023,-0.32411,-6.72974,20.3296,39.4563,18.4552,26.2869,-4.85517,0.738254523,0.888571759,0.862616114
105,3.317884311,30.1769,1.52479,3.60626,-0.260203,13.5454,-0.397327,-7.05709,19.0611,34.9183,17.043,25.2995,-6.24946,0.735806002,0.8582453,0.837906642
106,3.634805146,26.7421,1.20759,3.39887,-0.214041,22.2065,-0.505238,-7.1116,17.2132,29.6971,15.7423,23.9403,-7.48607,0.734417842,0.825700536,0.810855455
107,4.363138763,21.5242,0.923362,3.0403,-0.161562,28.5714,-0.606314,-6.86059,14.7716,24.0798,14.5085,22.3781,-8.52968,0.726919246,0.78422475,0.781413969
108,6.913620093,14.4724,0.657753,2.49006,-0.109027,29.0747,-0.658397,-6.05583,11.7779,18.541,13.2279,20.8259,-9.39202,0.720522665,0.74112317,0.751889891
109,2.610236175,35.8718,6.0931,3.94084,-0.0759175,3.10273,1.28352,-4.13057,22.1299,29.6354,-3.22575,24.6209,3.37991,0.91686384,0.743221357,0.999294077
110,2.766783784,34.0298,5.80639,3.93414,-0.052429,8.35964,1.14698,-4.83267,21.1986,27.9742,-4.89349,24.3703,2.2468,0.880520986,0.727330931,0.999734287
111,3.01414842,30.7935,5.45658,3.81116,-0.0297208,14.2808,0.876691,-5.43077,19.6484,25.734,-7.44361,23.9155,1.00991,0.842333934,0.707201646,0.995966718
112,3.432593533,26.1359,5.0661,3.53799,-0.0074694,19.55,0.609613,-5.80189,17.5876,22.9688,-10.5926,23.3254,-0.329661,0.803340046,0.681394938,0.989680827
113,4.274212603,20.2403,4.66733,3.08992,0.0132038,22.2788,0.328295,-5.89677,14.9885,19.8866,-13.8014,22.6888,-1.75261,0.763132702,0.653630407,0.977577017
114,6.92040403,13.5562,4.29932,2.47637,0.0251295,20.868,0.0154315,-5.59433,11.7846,16.8197,-16.4381,22.1004,-3.21143,0.721663876,0.62359367,0.954793141
115,4.752406933,22.2412,11.5416,4.09059,-0.113896,21.7694,0.776581,-6.56159,20.1089,34.2089,10.5686,24.5125,-0.062491,0.906709109,0.864490802,0.925122556
116,5.383900864,19.7092,11.0336,3.88309,-0.135376,23.3648,0.669918,-6.79036,18.9787,33.1374,10.2181,24.3991,-0.646026,0.898582884,0.849908151,0.917587069
117,6.416361868,16.9612,10.4933,3.63775,-0.153088,24.1531,0.582709,-6.92245,17.6463,31.9836,9.83288,24.2464,-1.22913,0.890418401,0.834826409,0.909849782
118,8.376645766,14.0467,9.93409,3.35082,-0.164767,24.023,0.514683,-6.92739,16.092,30.756,9.41356,24.0581,-1.80305,0.88239165,0.819090398,0.901802414
119,13.56742531,11.0189,9.36994,3.02573,-0.172411,22.94,0.449414,-6.76346,14.3772,29.4694,8.96312,23.8384,-2.35936,0.876874694,0.801244789,0.892017601
